sugar to flour ratio,sugar index,chill time,calories,density,pH,grams baking soda,bake time,quality,weight,crunch factor,raisins,nuts,chocolate,oats,butter melted or cubed
0.35,1.4,23.0,83.0,0.99019,8.17,0.48,12.0,9,13.2,1.83,0,0,1,0,0
0.07,7.1,34.0,145.0,0.9945,8.34,0.57,9.7,8,10.6,1.17,1,1,0,0,0
0.0,1.4,15.0,26.0,0.9944799999999999,8.36,0.45,9.5,5,12.0,1.77,1,1,0,0,1
0.39,8.0,22.0,84.0,0.9940000000000001,8.11,0.66,10.8,8,13.8,1.02,0,0,1,1,0
0.19,2.0,17.0,108.0,0.9962,8.32,0.54,9.5,5,15.6,1.23,1,1,0,0,1
0.35,1.6,16.0,39.0,0.9961,8.34,0.55,9.2,5,14.0,1.95,0,1,1,0,1
0.28,14.7,29.0,149.0,0.99792,7.96,0.39,9.0,9,14.0,1.08,0,0,1,1,0
0.33,15.7,51.0,190.0,0.9978,8.22,0.51,9.7,8,13.0,1.18,0,0,1,0,0
0.0,1.9,22.0,39.0,0.9970100000000001,8.4,0.74,9.7,5,13.6,1.08,0,1,1,1,1
0.27,10.6,31.0,119.0,0.99815,8.27,0.3,9.3,8,15.2,1.43,1,0,0,0,0
0.26,2.1,8.0,143.0,0.9942,8.05,0.74,9.8,7,15.8,1.35,0,0,1,1,0
0.36,1.4,11.0,119.0,0.99556,8.17,0.47,9.4,6,17.2,1.54,1,0,0,0,0
0.0,1.9,9.0,18.0,0.9972,8.46,0.65,9.2,5,13.0,1.58,0,1,1,1,1
0.16,1.8,3.0,16.0,0.9962,8.42,0.92,10.5,7,16.0,1.28,1,1,0,0,1
0.24,9.6,56.0,178.0,0.9957799999999999,8.15,0.44,10.2,8,14.3,1.51,0,0,1,1,0
0.23,1.4,20.0,77.0,0.9900100000000001,8.32,0.62,11.4,7,10.4,1.41,0,0,1,0,0
0.33,1.2,12.0,117.0,0.99134,8.46,0.44,11.5,7,11.8,1.67,0,1,1,0,0
0.37,9.7,17.0,50.0,0.9932,8.08,0.66,12.0,8,12.0,1.08,0,0,1,1,0
0.23,5.0,29.0,106.0,0.9945799999999999,8.13,0.52,9.0,7,11.6,1.76,1,0,0,0,0
0.07,1.3,26.0,102.0,0.992,8.5,0.35,10.6,8,10.6,1.7,1,0,0,0,0
0.46,2.5,5.0,27.0,1.0001,8.05,0.64,9.5,5,21.6,1.07,1,1,0,0,1
0.41,7.0,0.0,194.0,0.9955799999999999,8.14,0.48,9.4,7,13.2,1.52,0,0,1,0,0
0.27,9.9,26.0,101.0,0.9959600000000001,8.34,0.5,9.9,8,12.8,1.01,0,0,1,1,0
0.38,14.9,60.0,181.0,0.9983,8.18,0.61,9.3,9,14.0,1.65,1,0,0,0,0
0.13,2.1,17.0,36.0,0.9944,8.24,0.53,11.2,6,15.6,1.66,1,1,0,0,1
0.31,6.3,41.0,131.0,0.99326,8.08,0.49,10.8,8,13.8,1.49,0,0,1,0,0
0.4,2.6,13.0,52.0,0.99834,8.22,0.64,10.0,7,20.2,1.3,0,1,1,0,1
0.34,9.7,26.0,143.0,0.9965,8.08,0.49,9.8,8,15.2,1.4,0,0,1,0,0
0.48,8.8,35.0,167.0,0.9962799999999999,8.04,0.47,9.4,7,13.4,1.84,1,0,0,0,0
0.3,13.9,34.0,131.0,0.9953,8.36,0.5,12.0,9,13.4,1.98,0,0,1,0,0
0.42,7.1,41.0,169.0,0.9959,8.17,0.43,10.6,7,16.0,1.14,0,0,1,0,0
0.25,12.5,38.0,152.0,0.9977,8.33,0.43,9.4,7,11.8,1.85,0,0,1,0,0
0.58,1.4,15.0,97.0,0.9931,8.16,0.43,10.0,8,12.6,1.09,0,0,1,0,0
0.34,16.3,56.0,197.0,1.0004,8.49,0.42,9.8,7,13.0,1.54,0,0,1,0,0
0.27,13.9,45.0,155.0,0.9980700000000001,7.94,0.41,8.8,10,14.6,1.03,0,0,1,1,0
0.62,11.0,66.0,178.0,0.9976,8.16,0.5,8.7,7,14.4,1.77,1,0,0,0,0
0.37,3.2,20.0,80.0,0.9907600000000001,8.39,0.47,12.0,7,12.3,1.55,0,0,1,0,0
0.31,2.2,29.0,128.0,0.9937,8.34,0.64,10.9,10,14.2,1.91,0,0,1,0,0
0.42,1.7,49.0,154.0,0.992,8.0,0.6,10.4,8,14.8,1.39,0,0,1,1,0
0.14,3.0,38.0,155.0,0.9962200000000001,8.27,0.5,9.4,7,12.4,1.82,1,0,0,0,0
0.41,12.9,79.5,182.0,0.9974200000000001,8.24,0.78,10.2,8,13.6,1.34,0,0,1,1,0
0.26,9.55,35.0,91.0,0.9919,7.98,0.37,12.4,8,13.4,1.21,1,0,0,0,0
0.49,1.1,21.0,98.0,0.9929,8.19,0.48,9.2,7,11.6,1.7,0,0,1,1,0
0.19,0.8,17.0,204.0,0.9934,8.34,0.56,10.0,7,13.2,1.19,1,0,0,1,0
0.29,4.0,33.0,170.0,0.9946299999999999,8.27,0.64,10.2,8,14.2,1.75,1,0,0,0,0
0.24,5.1,43.0,131.0,0.9918600000000001,8.24,0.44,11.3,8,12.6,1.15,0,1,1,0,0
0.28,1.2,33.0,97.0,0.99126,8.49,0.58,10.9,8,11.2,1.6,1,0,0,0,0
0.26,1.2,11.5,88.0,0.9946,8.24,0.37,9.5,6,16.0,1.49,1,0,0,0,0
0.32,1.4,28.0,93.0,0.9897,8.31,0.5,12.3,8,11.4,1.42,1,0,0,0,0
0.06,1.0,9.0,131.0,0.9904,7.97,0.29,10.8,7,12.8,1.81,0,1,1,0,0
0.23,5.8,24.0,100.0,0.9906200000000001,8.15,0.57,13.2,9,14.2,1.69,0,1,1,0,0
0.33,4.9,42.0,130.0,0.9928299999999999,8.12,0.56,11.0,8,13.6,1.21,0,0,1,1,0
0.25,5.8,52.0,155.0,0.995,8.28,0.38,9.4,8,12.6,1.09,0,0,1,0,0
0.34,1.2,4.0,119.0,0.9908399999999999,8.18,0.34,12.1,8,15.4,1.91,1,0,0,0,0
0.22,2.7,4.0,18.0,0.99682,8.26,0.57,9.9,6,16.8,1.4,1,1,0,0,1
0.38,8.6,41.0,150.0,0.99534,8.06,0.46,10.3,7,14.8,1.32,0,0,1,0,0
0.18,7.5,71.0,223.0,0.9959,8.14,0.41,8.9,7,13.6,1.48,1,0,0,0,0
0.21,5.1,29.0,142.0,0.9942,8.36,0.33,10.1,9,12.6,1.51,0,0,1,0,0
0.31,4.8,34.0,132.0,0.9944,8.36,0.48,9.6,9,14.0,1.03,0,0,1,1,0
0.16,1.3,11.0,107.0,0.99398,8.19,0.39,8.5,7,13.0,1.09,1,0,0,0,0
0.31,5.6,24.0,97.0,0.993,8.1,0.42,10.9,7,16.0,1.66,0,0,1,0,0
0.29,4.9,41.0,150.0,0.9916799999999999,8.38,0.43,12.2,8,14.0,1.39,1,0,0,0,0
0.39,6.4,8.0,84.0,0.9942,8.18,0.46,11.5,7,14.6,1.16,0,0,1,0,0
0.28,14.7,29.0,149.0,0.99792,7.96,0.39,9.0,9,14.0,1.43,0,0,1,1,0
0.21,2.2,15.0,68.0,0.9932,8.17,0.39,9.4,8,13.6,1.75,1,0,0,0,0
0.49,4.5,27.0,133.0,0.9946,8.24,0.42,10.6,8,15.8,1.16,0,0,1,1,0
0.31,0.95,52.0,148.0,0.9903799999999999,7.93,0.32,11.5,7,16.8,1.86,1,0,0,0,0
0.22,1.5,45.0,155.0,0.9923799999999999,8.19,0.48,10.2,7,12.6,1.13,0,0,1,1,0
0.28,5.0,42.0,126.0,0.9904799999999999,8.12,0.38,12.6,9,13.6,1.7,0,0,1,0,0
0.24,1.5,38.0,124.0,0.9898,8.29,0.42,12.4,9,12.2,1.77,1,0,0,0,0
0.2,1.9,28.0,54.0,0.9956,8.37,0.64,10.4,6,14.2,1.48,0,1,1,0,1
0.51,8.0,61.0,189.0,0.9960399999999999,8.22,0.49,9.2,7,13.2,1.91,0,0,1,0,0
0.0,2.2,12.0,22.0,0.9969,8.48,0.5,9.3,5,14.2,1.94,0,1,1,1,1
0.39,12.4,29.0,119.0,0.9974,8.16,0.39,9.4,7,15.0,1.49,1,0,0,0,0
0.32,7.75,30.0,114.0,0.9915799999999999,8.12,0.64,12.8,9,14.0,1.36,0,0,1,0,0
0.49,1.1,28.0,117.0,0.9918,8.55,0.45,10.3,8,11.2,1.62,0,0,1,1,0
0.24,5.4,33.0,115.0,0.9901,8.12,0.44,12.89333333,9,13.4,1.07,0,1,1,0,0
0.32,10.6,38.0,209.0,0.9981,8.47,0.59,9.3,8,12.6,1.6,0,1,1,0,0
0.35,2.8,10.0,164.0,0.9912,8.09,0.53,12.0,8,13.6,1.27,1,0,0,0,0
0.28,5.0,14.0,146.0,0.9952,8.29,0.36,9.1,8,13.8,1.68,0,0,1,1,0
0.48,1.2,29.0,75.0,0.9892,8.33,0.39,12.8,10,12.4,1.2,0,1,1,1,0
0.14,8.9,38.0,155.0,0.9962200000000001,8.27,0.5,9.4,7,12.4,1.99,1,0,0,0,0
0.32,1.9,40.0,118.0,0.99074,8.32,0.53,11.8,9,12.8,1.17,0,0,1,0,0
0.34,1.6,33.0,104.0,0.9921,8.19,0.38,10.2,8,12.0,1.25,0,0,1,0,0
0.49,15.4,13.0,119.0,1.0004,8.18,0.45,9.5,7,19.6,1.75,1,0,0,0,0
0.3,1.6,29.0,130.0,0.9942,8.22,0.38,9.8,8,17.4,1.03,0,0,1,1,0
0.36,15.7,68.0,183.0,0.9992200000000001,8.25,0.76,9.4,7,14.4,1.05,0,0,1,0,0
0.4,1.2,47.0,130.0,0.99185,8.13,0.45,10.3,8,11.6,1.45,0,0,1,0,0
0.31,9.4,6.0,194.0,0.9971399999999999,8.07,0.61,9.4,7,15.2,1.22,0,1,1,0,0
0.26,2.1,26.0,87.0,0.98974,8.1,0.47,12.8,8,16.4,1.7,1,0,0,0,0
0.74,13.5,46.0,165.0,0.9982,8.02,0.4,8.7,7,14.6,1.87,1,0,0,0,0
0.36,10.7,20.0,90.0,0.9959,8.16,0.44,10.9,9,14.2,1.34,0,0,1,1,0
0.07,1.7,15.0,48.0,0.9950200000000001,8.12,0.48,10.0,5,14.8,1.17,0,1,0,1,1
0.32,2.4,29.0,100.0,0.99135,8.08,0.6,11.3,9,15.0,1.95,0,0,1,0,0
0.28,4.8,12.0,69.0,0.9963299999999999,8.32,0.7,11.0,6,14.0,1.79,1,1,0,0,1
0.37,1.5,16.0,104.0,0.99216,8.18,0.5,10.8,7,14.0,1.42,0,0,1,1,0
0.4,7.3,49.0,115.0,0.9926799999999999,8.21,0.43,11.0,8,13.0,1.64,0,0,1,0,0
0.24,14.0,24.0,113.0,0.9982,8.44,0.53,9.8,8,13.0,1.14,0,1,1,0,0
0.32,5.8,20.0,119.0,0.9929600000000001,8.17,0.55,11.2,8,13.8,1.04,0,0,1,0,0
0.45,8.6,47.0,223.0,0.99654,8.16,0.51,9.1,7,12.8,1.54,0,0,1,0,0
0.7,12.15,21.0,158.0,0.9983,8.0,0.73,9.3,8,17.2,1.23,1,0,0,0,0
0.33,1.4,35.0,138.0,0.9911399999999999,8.36,0.6,11.5,9,13.0,1.12,0,0,1,1,0
0.41,1.4,6.0,55.0,0.9887600000000001,8.16,0.4,13.4,7,13.8,1.84,0,0,1,0,0
0.55,5.9,75.0,162.0,0.99482,7.97,0.4,9.3,7,13.0,1.97,0,0,1,1,0
0.21,2.3,21.0,68.0,0.9955,8.12,0.44,9.2,5,15.2,1.34,0,1,0,1,1
0.3,12.8,19.0,171.0,0.99808,8.0,0.52,9.0,9,13.6,1.39,0,0,1,1,0
0.12,11.5,35.0,165.0,0.9974,8.22,0.32,9.0,7,13.0,1.27,1,0,0,0,0
0.37,1.4,12.0,96.0,0.9954,8.32,0.58,9.2,5,11.2,1.72,1,0,0,0,1
0.51,15.3,54.0,171.0,0.9987,8.09,0.51,9.1,7,15.8,1.11,1,0,0,0,0
0.31,2.4,9.0,46.0,0.9962,8.41,0.54,9.4,6,14.6,1.02,1,0,0,0,1
0.47,6.5,23.0,150.0,0.9954,8.14,0.45,9.6,8,13.2,1.55,1,0,0,0,0
0.31,1.2,31.0,68.0,0.9898,8.33,0.44,11.65,8,11.0,1.2,0,0,1,1,0
0.24,12.6,48.0,118.0,0.99726,8.04,0.56,10.0,9,14.2,1.68,0,0,1,0,0
0.32,1.1,25.0,78.0,0.9926,8.39,0.54,10.2,9,13.2,1.98,0,0,1,0,0
0.19,4.2,6.0,114.0,0.9955,8.25,0.35,8.6,6,13.0,1.21,0,0,1,0,0
0.19,7.1,36.0,110.0,0.9943799999999999,8.26,0.41,9.5,8,10.8,1.48,0,0,1,1,0
0.17,8.2,13.0,60.0,0.9956,8.09,0.3,9.5,6,16.0,1.48,1,1,0,0,0
0.28,4.5,14.0,92.0,0.99224,8.36,0.58,11.9,8,13.4,1.17,0,0,1,0,0
0.65,8.3,27.0,182.0,0.9964,8.0,0.35,9.2,7,14.4,1.64,0,1,1,0,0
0.33,1.2,20.0,72.0,0.9922,8.12,0.38,10.5,9,15.8,1.56,0,0,1,1,0
0.42,1.5,35.0,125.0,0.9925,8.11,0.49,11.4,9,17.2,1.45,0,0,1,0,0
0.0,1.9,14.0,38.0,0.99675,8.37,0.58,9.0,6,14.4,1.2,0,1,1,1,1
0.28,2.2,21.0,177.0,0.99166,8.2,0.57,11.4,7,14.0,1.89,1,0,0,0,0
0.09,6.3,0.0,138.0,0.99382,8.15,0.48,9.7,7,11.6,1.54,1,0,0,0,0
0.74,12.5,47.0,156.0,0.9981,8.04,0.44,8.7,7,14.4,1.62,0,0,1,0,0
0.32,9.0,54.0,141.0,0.9956,8.22,0.43,9.4,8,14.0,1.63,0,0,1,1,0
0.34,5.3,33.0,104.0,0.9953,8.37,0.52,9.3,9,14.2,1.22,0,0,1,1,0
0.12,10.4,22.0,177.0,0.9983,8.32,0.45,9.1,6,15.2,1.52,1,1,0,0,0
0.28,1.5,19.0,113.0,0.9933799999999999,8.38,0.56,10.1,8,14.6,1.87,0,0,1,0,0
0.32,1.4,10.0,67.0,0.992,8.08,0.41,11.4,7,12.8,1.7,0,1,1,0,0
0.52,2.2,13.0,25.0,0.9950899999999999,8.36,0.76,12.4,7,19.2,1.32,1,0,0,0,1
0.25,9.8,59.5,137.0,0.995,8.16,0.38,10.494757774346976,8,13.2,1.46,0,0,1,1,0
0.37,7.1,54.0,201.0,0.99523,8.19,0.48,9.5,8,12.4,1.32,0,0,1,0,0
0.22,8.8,24.0,113.0,0.9957600000000001,8.22,0.45,9.4,7,13.4,1.21,0,1,1,0,0
0.31,1.1,20.0,73.0,0.9925,8.32,0.4,10.8,9,14.4,1.41,0,0,1,1,0
0.3,7.9,38.0,157.0,0.9963,8.13,0.48,8.9,8,14.8,1.81,0,0,1,0,0
0.11,2.6,12.0,49.0,0.9968,8.21,0.57,10.0,5,15.2,1.36,0,1,1,0,1
0.27,10.9,29.0,130.0,0.9949600000000001,8.11,0.44,10.5,9,13.2,1.64,0,0,1,0,0
0.2,2.2,18.0,134.0,0.9937799999999999,8.21,0.68,10.0,7,11.2,1.79,0,0,1,0,0
0.28,2.7,38.0,94.0,0.99075,7.99,0.43,11.8,9,14.4,1.79,0,0,1,0,0
0.07,7.0,33.0,147.0,0.9944,8.33,0.58,9.7,7,10.4,1.21,0,1,1,1,0
0.22,5.6,31.0,128.0,0.9929600000000001,8.12,0.46,10.4,8,12.6,1.28,0,0,1,0,0
0.48,6.8,13.0,134.0,0.99616,8.23,0.7,10.0,7,16.0,1.6,0,0,1,0,0
0.45,1.5,19.0,37.0,0.99498,8.18,0.89,11.1,7,18.6,1.86,1,0,0,0,1
0.28,4.0,24.0,81.0,0.9903,8.26,0.64,12.6,9,12.8,1.62,1,0,0,0,0
0.28,6.3,17.0,103.0,0.9957,8.5,0.44,9.6,7,14.0,1.73,0,0,1,1,0
0.24,1.1,6.0,62.0,0.9934,8.41,0.32,10.4,7,13.4,1.99,0,1,1,1,0
0.45,4.4,57.0,166.0,0.9943,8.13,0.62,11.2,8,14.4,1.04,0,0,1,1,0
0.14,8.6,30.0,142.0,0.9954200000000001,8.28,0.44,9.5,8,11.8,1.21,0,0,1,0,0
0.31,2.8,40.0,122.0,0.99126,8.06,0.64,10.9,9,13.6,1.76,0,0,1,0,0
0.24,1.6,25.0,117.0,0.9943,8.36,0.5,9.3,7,12.8,1.85,1,0,0,0,0
0.62,7.1,48.0,185.0,0.99472,8.14,0.62,10.6,8,14.6,1.24,1,0,0,0,0
0.31,10.7,59.0,186.0,0.9969,8.12,0.55,9.5,8,15.4,1.34,0,0,1,0,0
0.31,7.6,52.0,177.0,0.9962,8.13,0.45,8.9,8,14.8,1.92,0,0,1,0,0
0.34,6.7,21.0,162.0,0.99497,8.08,0.5,10.6,8,18.0,1.48,0,0,1,0,0
0.25,3.9,28.0,90.0,0.99784,8.15,0.57,9.1,5,15.2,1.53,0,1,1,0,1
0.03,2.3,7.0,28.0,0.9956799999999999,8.35,0.52,10.0,5,14.4,1.01,1,1,0,0,1
0.25,14.3,27.0,149.0,0.998,7.91,0.46,9.2,8,14.0,1.15,0,0,1,1,0
0.37,6.1,38.0,112.0,0.9908600000000001,8.19,0.34,12.4,8,13.8,1.93,0,0,1,0,0
0.26,1.4,40.0,141.0,0.9941,8.34,0.72,9.5,8,13.0,1.37,0,0,1,1,0
0.34,8.9,32.0,111.0,0.99455,8.25,0.54,11.0,9,13.4,1.12,0,0,1,0,0
0.28,2.4,36.0,100.0,0.99064,8.26,0.39,11.7,9,13.4,1.82,0,0,1,0,0
0.3,3.1,15.0,37.0,0.9900399999999999,8.02,0.52,11.9,9,14.2,1.47,0,0,1,1,0
0.26,1.6,53.0,150.0,0.9936,8.18,0.5,9.9,9,14.8,1.88,0,0,1,0,0
0.27,4.0,37.0,97.0,0.99026,8.2,0.6,12.6,10,13.0,1.03,1,0,0,0,0
0.21,5.1,29.0,142.0,0.9942,8.36,0.33,10.1,9,12.6,1.52,0,0,1,0,0
0.49,16.8,50.0,228.0,1.0001,8.03,0.52,9.2,8,16.6,1.31,0,0,1,0,0
0.49,1.5,34.0,134.0,0.9924,7.99,0.61,9.8,8,12.6,1.87,0,0,1,0,0
0.46,3.8,82.0,187.0,0.9932,8.19,0.6,11.2,9,14.4,1.49,0,0,1,1,0
0.0,1.9,5.0,10.0,0.9977,8.18,0.63,10.4,6,18.2,1.16,0,1,1,1,1
0.4,1.7,48.0,134.0,0.9917,8.42,0.49,11.5,8,12.6,1.74,0,0,1,0,0
0.38,1.0,21.0,74.0,0.9918,8.21,0.37,11.0,7,14.4,1.47,0,0,1,0,0
0.25,7.8,44.0,166.0,0.9961,8.24,0.41,9.0,7,12.6,1.93,0,0,1,0,0
0.47,2.5,9.0,28.0,0.9981,8.24,0.65,10.8,6,19.6,1.91,0,1,1,0,1
0.42,15.1,28.0,124.0,0.99684,7.87,0.47,9.5,7,12.2,1.39,0,0,1,1,0
0.36,1.3,40.0,117.0,0.9934,8.27,0.95,9.5,9,13.8,1.0,0,0,1,1,0
0.06,2.0,4.0,11.0,0.99592,8.53,0.64,10.9,4,13.6,1.85,1,0,0,1,1
0.24,8.5,45.0,151.0,0.99626,8.2,0.52,9.2,7,14.4,1.95,0,1,1,0,0
0.33,10.7,27.0,98.0,0.99521,8.34,0.52,10.2,8,12.2,1.75,1,0,0,0,0
0.32,5.6,15.0,68.0,0.9916299999999999,7.96,0.52,11.1,8,13.2,1.58,0,0,1,0,0
0.49,2.6,38.0,106.0,0.9982,8.08,0.59,9.1,5,18.2,1.06,0,1,1,0,1
0.34,5.1,8.0,22.0,0.9974,8.22,0.94,10.9,6,16.4,1.95,0,0,1,0,1
0.25,10.6,32.0,120.0,0.9962,8.31,0.34,10.1,8,13.0,1.86,0,0,1,0,0
0.25,19.1,50.0,208.0,1.00051,8.05,0.5,9.2,8,16.0,1.5,0,0,1,0,0
0.06,2.5,5.0,10.0,0.9967,8.39,0.56,9.8,5,15.2,1.94,1,0,0,1,1
0.27,6.6,40.0,158.0,0.9937799999999999,8.2,0.48,10.3,7,12.6,1.8,0,0,1,0,0
0.41,16.8,59.0,222.0,0.9993,8.18,0.58,9.0,7,13.0,1.54,0,1,1,0,0
0.14,1.5,25.0,168.0,0.9937,8.05,0.51,9.3,7,15.2,1.97,0,1,1,1,0
0.31,3.6,22.0,91.0,0.9927799999999999,8.41,0.5,9.8,8,10.6,1.45,0,0,1,0,0
0.3,13.0,46.0,238.0,0.9986,8.06,0.41,8.7,8,14.6,1.8,0,0,1,0,0
0.43,8.9,50.0,171.0,0.9965,7.85,0.5,9.0,7,13.0,1.24,0,0,1,0,0
0.36,2.0,21.0,63.0,0.9907600000000001,8.13,0.63,12.5,8,14.4,1.37,0,0,1,0,0
0.2,17.9,36.0,161.0,0.9991,8.14,0.51,8.8,7,12.6,1.8,1,0,0,0,0
0.32,7.4,47.0,159.0,0.9952,8.19,0.5,9.4,8,12.0,1.33,1,0,0,0,0
0.26,1.4,30.0,104.0,0.98998,8.32,0.41,12.4,8,12.0,1.09,0,0,1,1,0
0.24,2.7,14.0,44.0,0.998,8.12,0.74,10.0,6,19.0,1.14,0,1,1,0,1
0.08,2.1,16.0,24.0,0.9937600000000001,8.56,0.77,11.1,6,11.8,1.93,0,1,1,1,1
0.29,15.4,56.0,173.0,0.9984,8.06,0.41,8.7,8,13.6,1.99,0,0,1,0,0
0.1,3.5,17.0,63.0,0.9937,8.01,0.39,9.2,7,14.0,1.26,1,0,0,0,0
0.25,7.8,24.0,116.0,0.99241,8.39,0.4,11.3,8,10.0,1.56,1,0,0,0,0
0.3,0.9,4.0,28.0,0.98931,8.2,0.36,12.0,8,14.2,1.32,0,0,1,0,0
0.36,15.7,29.0,124.0,0.9968,8.06,0.54,10.4,7,15.0,1.1,0,0,1,0,0
0.49,2.5,33.0,85.0,0.9962,8.39,0.77,11.4,6,14.0,2.0,1,0,0,0,1
0.27,11.6,22.0,97.0,0.9931399999999999,7.96,0.38,11.7,8,13.6,1.92,1,0,0,0,0
0.18,7.0,27.0,94.0,0.99915,8.38,0.77,9.4,5,15.0,1.23,0,1,1,1,1
0.3,3.5,27.0,135.0,0.9906,8.0,0.37,12.0,8,13.6,1.46,0,1,1,0,0
0.28,14.7,29.0,149.0,0.99792,7.96,0.39,9.0,9,14.0,1.84,0,0,1,1,0
0.24,11.9,54.0,159.0,0.9962200000000001,8.14,0.54,9.8,8,13.2,1.57,0,1,1,0,0
0.29,13.3,49.0,130.0,0.9952,8.33,0.46,11.0,10,12.4,1.08,0,0,1,0,0
0.45,1.8,17.0,114.0,0.9948,8.33,0.49,10.7,9,15.8,1.08,0,0,1,1,0
0.39,2.2,8.0,32.0,0.9986,7.89,0.5,9.6,5,21.4,1.02,0,1,1,0,1
0.15,3.0,12.0,27.0,0.9929,8.33,0.59,12.8,6,13.0,1.5,1,1,0,0,1
0.41,2.0,14.0,79.0,0.9906299999999999,8.27,0.63,12.4,8,13.2,1.55,1,0,0,0,0
0.27,15.5,25.0,135.0,0.9984,7.9,0.43,8.7,9,14.8,1.07,0,0,1,1,0
0.39,1.9,6.0,17.0,0.9976,8.17,0.47,10.0,5,20.4,1.12,0,1,1,1,1
0.08,2.1,16.0,24.0,0.9937600000000001,8.56,0.77,11.1,6,11.8,1.42,0,1,1,1,1
0.32,1.2,7.0,89.0,0.99111,8.26,0.48,11.0,7,11.4,1.48,0,0,1,1,0
0.35,1.6,24.0,147.0,0.9935,7.96,0.36,10.0,7,17.0,1.62,0,0,1,1,0
0.41,13.6,41.0,178.0,0.9988,8.37,0.43,9.7,7,14.6,1.78,0,0,1,0,0
0.28,1.2,31.0,111.0,0.99174,8.18,0.53,11.1,7,14.2,1.73,0,0,1,0,0
0.27,2.3,19.0,120.0,0.9895200000000001,8.32,0.41,12.7,9,12.0,1.0,1,0,0,0,0
0.34,2.3,10.0,45.0,0.99864,8.24,0.6,9.7,7,19.6,1.43,1,1,0,0,1
0.32,1.6,47.0,150.0,0.9948,8.29,0.76,9.6,8,15.8,1.15,0,0,1,1,0
0.24,2.3,25.0,133.0,0.9906,8.34,0.59,12.0,9,12.2,1.15,1,0,0,0,0
